trial,odour,conc,percent,gb,normalized
5,Octanoic Acid,0.01,103.3370892,Good,103.2293238
5,Octanoic Acid,0.1,124.883599,Good,119.9254339
5,Octanoic Acid,1,123.009604,Good,118.7055345
5,Octanoic Acid,10,66.98765266,Good,50.71875782
5,Octanoic Acid,10,82.50531842,Good,78.7956923
5,Heptadecane,0.01,67.47001005,Good,51.78600103
5,Heptadecane,0.1,109.7880774,Good,108.9154284
5,Heptadecane,1,173.1355803,Good,142.241797
5,Heptadecane,10,141.246973,Good,129.2020226
5,2-Nonanal,0.01,121.5007138,Good,117.6959568
5,2-Nonanal,0.1,127.1024454,Good,121.3233076
5,2-Nonanal,1,144.6399774,Good,130.8628211
5,2-Nonanal,10,97.64765349,Good,97.59098511
5,Hexane,0,100,Good,100
6,Hexane,0,100,Good,100
6,Methyl Palmitate,0.01,135.5875502,Good,126.2469158
6,Methyl Palmitate,0.1,124.596404,Good,119.7408619
6,Methyl Palmitate,1,120.3040579,Good,116.8772843
6,Methyl Palmitate,10,87.33207899,Good,85.4945386
6,Methyl Oleate,0.01,95.88686586,Good,95.71043009
6,Methyl Oleate,0.1,122.8171885,Good,118.578172
6,Methyl Oleate,1,191.0079349,Good,147.646154
6,Methyl Oleate,10,98.09334217,Good,98.05628212
6,2-Hydroxyhexanoic Acid (DCM),0.01,109.3987826,Good,108.5913046
6,2-Hydroxyhexanoic Acid (DCM),0.1,54.64055307,Good,16.98574708
6,2-Hydroxyhexanoic Acid (DCM),1,86.95345714,Good,84.99594693
6,2-Hydroxyhexanoic Acid (DCM),10,60.72363792,Good,35.31948443
6,2-Heptanol,0.01,79.24743523,Good,73.8129509
6,2-Heptanol,0.1,136.2743972,Good,126.6186444
6,2-Heptanol,1,35.33166321,Good,-83.03224615
6,2-Heptanol,10,66.84238153,Good,50.39431913
6,Hexane,0,100,Good,100
6,Hexane,0,100,Good,100
6,Methyl Palmitate,0.01,87.33513243,Good,85.49854198
6,Methyl Palmitate,0.1,88.89866476,Good,87.51237122
6,Methyl Palmitate,1,104.3628728,Good,104.1804837
6,Methyl Palmitate,10,113.4742975,Good,111.8743167
6,Hexane,0,101.3020295,Good,101.2852946
6,Hexane,0,100,Good,100
6,Methyl Palmitate,0.01,78.59899238,Good,72.77190589
6,Methyl Palmitate,0.1,84.92415762,Good,82.24787527
6,Methyl Palmitate,1,104.8171762,Good,104.595789
6,Methyl Palmitate,10,104.2988586,Good,104.1216737
7,Hexane,0,100,Good,100
7,Methyl Palmitate,0.01,131.0029166,Good,123.6658217
7,Methyl Palmitate,0.1,131.4150492,Good,123.9052143
7,Methyl Palmitate,1,112.7984185,Good,111.3462748
7,Methyl Palmitate,10,135.0834525,Good,125.9716878
7,Octanoic Acid,0.01,174.525132,Good,142.701662
7,Octanoic Acid,0.1,129.1586518,Good,122.575841
7,Octanoic Acid,1,109.2957804,Good,108.5051594
7,Octanoic Acid,10,82.15425216,Good,78.27775511
7,2-Nonanal,0.01,120.1888532,Good,116.7976087
7,2-Nonanal,0.1,80.07321392,Good,75.11429216
7,2-Nonanal,1,96.20904499,Good,96.05966881
7,2-Nonanal,10,70.97251476,Good,59.10038507
7,Hexadecanal,0.01,117.5465961,Good,114.9273536
7,Hexadecanal,0.1,116.4108181,Good,114.0973308
7,Hexadecanal,1,73.80023713,Good,64.49908037
7,Hexadecanal,10,74.78430485,Good,66.28210264
7,Methyl Palmitate,0.01,151.5118218,Good,133.9985495
7,Methyl Palmitate,0.1,118.1528659,Good,115.3638812
7,Methyl Palmitate,1,125.737464,Good,120.4692088
7,Methyl Palmitate,10,127.7055031,Good,121.6948388
7,Hexane,0,100,Good,100
7,2-Heptanol,0.01,88.14691251,Good,86.55303158
7,2-Heptanol,0.1,151.5737438,Good,134.0255129
7,2-Heptanol,1,121.4593549,Good,117.6679309
7,2-Heptanol,10,108.0629789,Good,107.4613702
7,2-Hydroxyhexanoic Acid (DCM),0.01,121.2196632,Good,117.5051329
7,2-Hydroxyhexanoic Acid (DCM),0.1,143.6732914,Good,130.3976411
7,2-Hydroxyhexanoic Acid (DCM),1,245.3486043,Bad,159.2416675
7,2-Hydroxyhexanoic Acid (DCM),10,83.26963187,Bad,79.90819972
7,Methyl Oleate,0.01,413.8248514,Bad,175.8351874
7,Methyl Oleate,0.1,350.4038496,Bad,171.4615007
7,Methyl Oleate,1,389.488874,Bad,174.3253257
